id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_en_empresa;anios_en_puesto;anios_experiencia;sueldo_bruto;beneficios;bono;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;erp;nombre_area;idioma_exigencia;idioma_porcentaje;satisfaccion;busqueda;beneficios_expectativa;pregunta_bizarra;rh_una_palabra;diversidad_sexual;libertad_ser;diversidad_management;lenguaje_inclusivo;discapacidad;linea_segura;sufrio_acoso;teletrabajo;retorno_plan;retorno_mes;retorno_decision;retorno_dias;modalidad_ingresos;retorno_satisfaccion;valoracion_gestion_pandemia
1;2021-10-22T10:45:50Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;101 - 250;Nacional;7;Analista;Indeterminado;Full time;Reclutamiento y selección;0;0;0;0;67000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Licencias extendidas, Abono de internet, Home office, Idiomas, Préstamos;Menos de un sueldo;No tuve ajustes;0;NA;No;No tenemos sistema de gestión;Recursos Humanos;No;0;5;No estoy buscando cambiar;1 semana más de vacaciones.;Si pensaba tener hijos en algún futuro.;Acompañamiento.;Si;Totalmente de acuerdo;0.3;Totalmente en desacuerdo;No tengo ninguna discapacidad;No se;Si;Si;En evaluación;No esta definido;De la empresa;A elección de cada empleado;Teletrabajo;Algo insatisfecho;5
2;2021-10-22T10:49:45Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Agricultura, plantaciones, otros sectores rurales;101 - 250;Nacional;3;Analista;Indeterminado;Full time;Administración personal, liquidación de sueldos;0;0;0;7;135000;Medicina prepaga / Plan de salud, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office;No recibo bono;No tuve ajustes;0;Julio;Si, en emprendimiento relacionado con RRHH;Bejerman;Recursos Humanos;No;0;3;No,  pero escucho ofertas;Descuentos convenios empresas, bonos por objetivos;NA;Acompañamiento;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2021-10-22T10:51:25Z;Mujer cis;46 - 50;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Educación;51 - 100;Nacional;1;Responsable;Indeterminado;Full time;Relaciones laborales;2;7;3;1;90000;Horarios flexibles, Vacaciones extendidas, Equipamiento ergonómico de teletrabajo;No recibo bono;1 solo;20;Septiembre;Si, en emprendimiento no relacionado con RRHH;Enlatado propio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2021-10-22T10:51:40Z;Mujer cis;31 - 35;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Tecnologías de información;101 - 250;Nacional;7;Talent Acquisition;Por tiempo indefinido;Full time;Reclutamiento y selección;0;2;2;8;70000;Medicina prepaga / Plan de salud, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Préstamos;Menos de un sueldo;2 ajustes;40;Octubre;No;No tenemos sistema de gestión;Recursos Humanos;No;0.1;4;No,  pero escucho ofertas;Remoto, capacitaciones;No recuerdo;Soporte;No;De acuerdo;0.2;Totalmente de acuerdo;No tengo ninguna discapacidad;No;No;Si;En evaluación;No esta definido;De la empresa;No aplica;Teletrabajo;No aplica / Prefiero no responder;3
5;2021-10-22T10:58:22Z;Hombre cis;25 - 30;Universitario en curso;Administración de Empresas;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Otros;1 - 50;Nacional;2;Administrativo;Indeterminado;Full time;Administración de personal;0;1;1;4;60000;No tengo beneficios adicionales;No recibo bono;3 o más ajustes;27;Septiembre;No;Browix;Administración;No;0;4;No,  pero escucho ofertas;Prepaga incluida;Con qué personaje de ficción te identificas;Necesario;No;Totalmente de acuerdo;0;Ni de acuerdo ni en desacuerdo;No tengo ninguna discapacidad;No;Si;No;Presencial 100%;No aplica;No aplica;No aplica;Presencial;No aplica / Prefiero no responder;NA
6;2021-10-22T11:00:37Z;Hombre cis;25 - 30;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;1.001 - 2.500;Multinacional;20;Gerente;Indeterminado;Full time;People analytics;3;10;0;4;366000;Horarios flexibles;Menos de un sueldo;3 o más ajustes;130;Septiembre;No;Enlatado propio;Capital Humano;Si;0.7;4;No,  pero escucho ofertas;.;¿Por qué Sibarita es tan rica?;Lindo;No;De acuerdo;0.8;Ni de acuerdo ni en desacuerdo;No tengo ninguna discapacidad;Si;No;Si;Mixto;Diciembre 2021;No aplica;A elección de cada empleado;Teletrabajo;Muy satisfecho;2
7;2021-10-22T11:05:58Z;Mujer cis;18 - 25;Universitario en curso;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;101 - 250;Nacional;7;Analista;Indeterminado;Full time;Reclutamiento y selección;0;1;1;2;72000;Medicina prepaga / Plan de salud, Licencias extendidas, Abono de celular, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Reintegros en capacitación, Aplicación de descuentos;Menos de un sueldo;1 solo;30;Abril;No;No tenemos sistema de gestión;Recursos Humanos;No;0;4;No estoy buscando cambiar;Dia de cumpleaños y semana libre de fiestas.;NA;EMPATIA;No;De acuerdo;0.3;De acuerdo;No tengo ninguna discapacidad;No;No;Si;Mixto;No esta definido;No aplica;A elección de cada empleado;Teletrabajo;Muy instatisfecho;5
9;2021-10-22T11:13:47Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios profesionales;2.501 - 5.000;Multinacional;100;Analista;Indeterminado;Full time;Administración de personal;0;6;3;9;130000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Licencias extendidas, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Préstamos, Seguro de vida (adicionales a los de ley);No recibo bono;2 ajustes;30;Julio;Si, en proyectos ad honorem;Workday;Recursos Humanos;Si;0.4;4;No,  pero escucho ofertas;Más vacaciones;NA;innovación;No;Totalmente de acuerdo;0.7;Ni de acuerdo ni en desacuerdo;No tengo ninguna discapacidad;Si;No;Si;En evaluación;No esta definido;De la empresa;3 días;Teletrabajo;Algo satisfecho;4
10;2021-10-22T11:15:55Z;Mujer cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Alimentación, bebidas;1.001 - 2.500;Multinacional;20;Jefe;Indeterminado;Full time;Generalista;3;13;6;17;170000;Medicina prepaga / Plan de salud, Comedor / Almuerzos;Un sueldo;2 ajustes;25;Agosto;No;RH Pro;Recursos Humanos;No;0;3;Sí, activamente;dias libres;tu top five de series;servicio;No;Ni de acuerdo ni en desacuerdo;0.1;Ni de acuerdo ni en desacuerdo;No tengo ninguna discapacidad;No;No;Voy rotando entre la oficina y el teletrabajo;En evaluación;No esta definido;De la empresa;No aplica;Mixta;Algo satisfecho;3
12;2021-10-22T11:16:41Z;Mujer cis;25 - 30;Universitario completo;Economía;Universidad Privada;Ecuador;NA;Relación de Dependencia;Bancos, banca online;1.001 - 2.500;Multinacional;15;Analista;Indefinido, no sé si sea lo mismo a indeterminado;Full time;People analytics;0;0;0;3;1600;Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Seguro de vida (adicionales a los de ley), Capacitaciones y certificaciones;No recibo bono;No tuve ajustes;0;NA;Si, en proyectos ad honorem;No tenemos sistema de gestión;Recursos Humanos;Si;0.5;5;No estoy buscando cambiar;Seguro de salud privado, días libres por cumpleaños o tiempo libre como viernes de verano, descuentos comerciales;Si me gusta el chisme;Integración;No;En desacuerdo;0.4;Ni de acuerdo ni en desacuerdo;Auditiva;No;No;Voy rotando entre la oficina y el teletrabajo;Mixto;No aplica;De la empresa;A elección de cada empleado;Mixta;Algo satisfecho;3
